months,race,contrabn,stops,month_tot,race_prop
2006-06-01,H,0,11753,12181.0,0.964863311714966
2006-06-01,H,1,428,12181.0,0.03513668828503407
2006-06-01,W,0,4306,4396.0,0.9795268425841674
2006-06-01,W,1,90,4396.0,0.020473157415832575
2006-07-01,A,0,935,954.0,0.980083857442348
2006-07-01,A,1,19,954.0,0.019916142557651992
2006-07-01,B,0,20456,20456.0,1.0
2006-07-01,H,0,10891,11235.0,0.9693813974187806
2006-07-01,H,1,344,11235.0,0.030618602581219404
2006-07-01,W,0,3851,4058.0,0.948989650073928
2006-07-01,W,1,207,4058.0,0.05101034992607196
2006-08-01,A,0,983,983.0,1.0
2006-08-01,B,0,23012,23012.0,1.0
2006-08-01,H,0,13126,13126.0,1.0
2006-08-01,W,0,4097,4424.0,0.9260849909584087
2006-08-01,W,1,327,4424.0,0.07391500904159132
2006-09-01,A,0,990,990.0,1.0
2006-09-01,B,0,21881,22610.0,0.9677576293675365
2006-09-01,B,1,729,22610.0,0.03224237063246351
2006-09-01,H,0,11630,11961.0,0.9723267285344035
2006-09-01,H,1,331,11961.0,0.027673271465596522
2006-09-01,W,0,4174,4174.0,1.0
2006-10-01,A,0,1084,1084.0,1.0
2006-10-01,B,0,19485,23481.0,0.8298198543503258
2006-10-01,B,1,3996,23481.0,0.1701801456496742
2006-10-01,H,0,11583,12027.0,0.963083063108007
2006-10-01,H,1,444,12027.0,0.03691693689199302
2006-10-01,W,0,4556,4737.0,0.9617901625501373
2006-10-01,W,1,181,4737.0,0.03820983744986278
2006-11-01,A,0,957,957.0,1.0
2006-11-01,B,0,21055,21055.0,1.0
2006-11-01,H,0,10975,10975.0,1.0
2006-11-01,W,0,4034,4034.0,1.0
2006-12-01,A,0,785,785.0,1.0
2006-12-01,B,0,19103,19103.0,1.0
2006-12-01,H,0,9744,9808.0,0.9934747145187602
2006-12-01,H,1,64,9808.0,0.0065252854812398045
2006-12-01,W,0,3739,3739.0,1.0
2007-01-01,A,0,1127,1166.0,0.9665523156089194
2007-01-01,A,1,39,1166.0,0.03344768439108062
2007-01-01,B,0,24564,25260.0,0.9724465558194775
2007-01-01,B,1,696,25260.0,0.027553444180522565
2007-01-01,H,0,15401,15401.0,1.0
2007-01-01,W,0,5267,5267.0,1.0
2007-02-01,A,0,1065,1065.0,1.0
